dists Freq
398 0.401 5
399 0.402 2
400 0.403 8
401 0.405 5
402 0.406 4
403 0.407 9
404 0.408 17
405 0.409 218
406 0.41 7
407 0.411 5
408 0.412 161
409 0.413 10
410 0.414 9
411 0.415 1
412 0.416 6
413 0.418 2
414 0.419 1
415 0.42 5
416 0.421 5
417 0.422 3
418 0.423 3
419 0.424 2
420 0.425 1
421 0.426 1
422 0.427 4
423 0.428 1
424 0.43 1
425 0.432 3
426 0.433 2
427 0.434 1
428 0.435 4
429 0.436 2
430 0.437 2
431 0.438 1
432 0.439 1
433 0.441 3
434 0.444 14
435 0.445 3
436 0.446 1
437 0.447 1
438 0.448 6
439 0.449 2
440 0.45 4
441 0.452 2
442 0.453 30
443 0.454 5
444 0.455 3
445 0.456 3
446 0.457 6
447 0.463 4
448 0.466 4
449 0.468 5
450 0.469 1
451 0.472 3
452 0.475 4
453 0.476 6
454 0.48 4
455 0.481 2
456 0.485 2
457 0.496 1
458 0.498 1
459 0.502 2
460 0.513 1
461 0.514 2
462 0.516 2
463 0.517 3
464 0.52 1
465 0.523 1
466 0.524 1
467 0.528 1
468 0.53 2
469 0.531 6
470 0.532 2
471 0.539 1
472 0.541 1
473 0.547 1
474 0.549 1
475 0.559 2
476 0.563 1
477 0.57 1
478 0.582 1
479 0.59 1
480 0.608 1
481 0.612 1
482 0.613 2
483 0.619 1
484 0.63 1
485 0.631 1
486 0.648 2
487 0.659 1
488 0.684 1
489 0.702 1
490 0.736 3
491 0.791 1
492 0.821 1
493 0.859 1
494 0.868 1
495 0.874 1
496 1.092 12
497 1.116 1
498 1.118 1
499 1.15 1
500 1.167 1
501 1.171 1
502 1.261 1
503 1.3 1
504 1.315 1
505 1.321 1
506 1.337 1
507 1.342 1
508 1.347 1
509 1.355 1
510 1.446 1
511 1.488 1
512 1.505 1
513 1.506 1
514 1.507 3
515 1.508 9
516 1.51 1
517 1.514 3
518 1.549 1
519 1.554 1
520 1.574 1
